ward,precinct,total,Will Guzzardi,Will Guzzardi Percent
0107,1,7,137,137,100.0
0109,1,9,110,110,100.0
0113,1,13,84,84,100.0
0116,1,16,206,206,100.0
0119,1,19,230,230,100.0
0123,1,23,249,249,100.0
0134,1,34,158,158,100.0
0141,1,41,87,87,100.0
0142,1,42,41,41,100.0
0143,1,43,135,135,100.0
2607,26,7,86,86,100.0
2634,26,34,117,117,100.0
3001,30,1,158,158,100.0
3002,30,2,13,13,100.0
3004,30,4,105,105,100.0
3009,30,9,86,86,100.0
3012,30,12,25,25,100.0
3017,30,17,39,39,100.0
3019,30,19,16,16,100.0
3020,30,20,138,138,100.0
3026,30,26,74,74,100.0
3027,30,27,84,84,100.0
3031,30,31,61,61,100.0
3101,31,1,48,48,100.0
3102,31,2,46,46,100.0
3103,31,3,27,27,100.0
3105,31,5,87,87,100.0
3106,31,6,49,49,100.0
3107,31,7,161,161,100.0
3108,31,8,52,52,100.0
3109,31,9,53,53,100.0
3110,31,10,85,85,100.0
3111,31,11,61,61,100.0
3112,31,12,64,64,100.0
3113,31,13,71,71,100.0
3114,31,14,66,66,100.0
3115,31,15,51,51,100.0
3117,31,17,59,59,100.0
3118,31,18,76,76,100.0
3119,31,19,52,52,100.0
3120,31,20,52,52,100.0
3121,31,21,38,38,100.0
3123,31,23,79,79,100.0
3124,31,24,82,82,100.0
3125,31,25,49,49,100.0
3126,31,26,91,91,100.0
3127,31,27,68,68,100.0
3128,31,28,37,37,100.0
3129,31,29,60,60,100.0
3130,31,30,57,57,100.0
3131,31,31,46,46,100.0
3132,31,32,29,29,100.0
3133,31,33,58,58,100.0
3134,31,34,87,87,100.0
3135,31,35,69,69,100.0
3136,31,36,73,73,100.0
3137,31,37,50,50,100.0
3138,31,38,33,33,100.0
3140,31,40,79,79,100.0
3141,31,41,62,62,100.0
3203,32,3,192,192,100.0
3204,32,4,65,65,100.0
3205,32,5,152,152,100.0
3211,32,11,170,170,100.0
3212,32,12,147,147,100.0
3214,32,14,205,205,100.0
3216,32,16,148,148,100.0
3217,32,17,179,179,100.0
3220,32,20,189,189,100.0
3222,32,22,262,262,100.0
3226,32,26,217,217,100.0
3228,32,28,192,192,100.0
3229,32,29,153,153,100.0
3231,32,31,129,129,100.0
3232,32,32,63,63,100.0
3233,32,33,2,2,100.0
3234,32,34,152,152,100.0
3237,32,37,94,94,100.0
3243,32,43,219,219,100.0
3314,33,14,11,11,100.0
3326,33,26,15,15,100.0
3328,33,28,16,16,100.0
3501,35,1,137,137,100.0
3502,35,2,17,17,100.0
3505,35,5,55,55,100.0
3506,35,6,124,124,100.0
3510,35,10,200,200,100.0
3511,35,11,198,198,100.0
3515,35,15,196,196,100.0
3517,35,17,195,195,100.0
3525,35,25,157,157,100.0
3528,35,28,176,176,100.0
3616,36,16,39,39,100.0
3620,36,20,72,72,100.0
4508,45,8,10,10,100.0
4509,45,9,120,120,100.0
4510,45,10,36,36,100.0
